iter	Passed	Remaining
642	7083	3932
643	7085	3916
644	7089	3901
645	7093	3887
646	7105	3876
647	7110	3862
648	7115	3848
649	7120	3833
650	7131	3823
651	7135	3808
652	7143	3795
653	7150	3782
654	7155	3768
655	7159	3754
656	7166	3741
657	7172	3727
658	7183	3717
659	7191	3704
660	7200	3692
661	7205	3678
662	7209	3664
663	7218	3652
664	7222	3638
665	7226	3624
666	7235	3612
667	7238	3597
668	7247	3585
669	7251	3571
670	7262	3560
671	7267	3547
672	7276	3535
673	7282	3522
674	7287	3508
675	7293	3495
676	7299	3482
677	7311	3472
678	7315	3458
679	7322	3445
680	7326	3432
681	7330	3418
682	7337	3405
683	7341	3391
684	7352	3380
685	7355	3366
686	7359	3353
687	7367	3341
688	7380	3331
689	7389	3319
690	7399	3309
691	7403	3295
692	7411	3283
693	7417	3270
694	7420	3256
695	7430	3245
696	7434	3231
697	7444	3221
698	7449	3207
699	7453	3194
700	7461	3182
701	7475	3173
702	7483	3161
703	7494	3150
704	7498	3137
705	7506	3126
706	7511	3113
707	7515	3099
708	7525	3088
709	7529	3075
710	7533	3061
711	7537	3048
712	7541	3035
713	7549	3024
714	7563	3014
715	7570	3002
716	7583	2993
717	7587	2979
718	7596	2968
719	7600	2955
720	7603	2942
721	7609	2929
722	7612	2916
723	7621	2905
724	7626	2892
725	7631	2880
726	7637	2867
727	7650	2858
728	7659	2847
729	7670	2836
730	7674	2824
731	7683	2813
732	7688	2800
733	7692	2787
734	7701	2776
735	7704	2763
736	7713	2752
737	7718	2740
738	7723	2727
739	7734	2717
740	7750	2709
741	7763	2699
742	7777	2690
743	7784	2678
744	7793	2667
745	7797	2654
746	7801	2642
747	7810	2631
748	7814	2618
749	7822	2607
750	7827	2595
751	7831	2582
752	7840	2571
753	7845	2559
754	7857	2549
755	7873	2541
756	7877	2528
757	7881	2516
758	7890	2505
759	7896	2493
760	7906	2483
761	7910	2470
762	7918	2459
763	7923	2447
764	7927	2435
765	7937	2424
766	7941	2412
767	7948	2401
768	7953	2389
769	7958	2377
770	7966	2366
771	7970	2354
772	7982	2344
773	7988	2332
774	7999	2322
775	8003	2310
776	8010	2299
777	8016	2287
778	8020	2275
779	8031	2265
780	8035	2253
781	8042	2241
782	8047	2230
783	8059	2220
784	8066	2209
785	8079	2199
786	8083	2187
787	8091	2176
788	8096	2165
789	8100	2153
790	8109	2142
791	8113	2130
792	8117	2119
793	8124	2107
794	8128	2096
795	8136	2085
796	8142	2074
797	8153	2063
798	8164	2053
799	8168	2042
800	8178	2031
801	8182	2020
802	8189	2009
803	8195	1997
804	8199	1986
805	8209	1975
806	8213	1964
807	8231	1955
808	8275	1953
809	8281	1942
810	8290	1931
811	8294	1920
812	8299	1909
813	8307	1898
814	8314	1887
815	8321	1876
816	8326	1865
817	8337	1854
818	8341	1843
819	8371	1837
820	8376	1826
821	8391	1817
822	8403	1807
823	8441	1802
824	8480	1798
825	8488	1788
826	8520	1782
827	8526	1771
828	8538	1761
829	8579	1757
830	8623	1753
831	8628	1742
832	8637	1731
833	8642	1720
834	8654	1710
835	8659	1698
836	8666	1687
837	8671	1676
838	8682	1666
839	8689	1655
840	8696	1644
841	8756	1643
842	8760	1631
843	8767	1620
844	8771	1609
845	8776	1597
846	8784	1586
847	8794	1576
848	8800	1565
849	8806	1554
850	8810	1542
851	8818	1531
852	8824	1520
853	8827	1509
854	8837	1498
855	8842	1487
856	8850	1476
857	8855	1465
858	8859	1454
859	8864	1443
860	8877	1433
861	8885	1422
862	8895	1412
863	8900	1400
864	8916	1391
865	8929	1381
866	8934	1370
867	8942	1359
868	8947	1348
869	8977	1341
870	8983	1330
871	8994	1320
872	9003	1309
873	9009	1298
874	9014	1287
875	9023	1277
876	9028	1266
877	9032	1255
878	9037	1244
879	9042	1233
880	9048	1222
